x,y,z,u,v,w,u0,v0,w0,ZNCC,iteration,convergence,feature,ux,uy,uz,vx,vy,vz,wx,wy,wz
45,45,70,0.07236264,0.11565638,-0.58309186,0,0,0,0.96763551,8,0.0005058,0,0.00202382,-0.00086288,0.00047226,0.00240229,0.00030339,0.0032738,0.00106973,0.0077734,-0.01461524
50,45,70,0.08649608,0.12422656,-0.56676382,0,0,0,0.96655643,8,0.00040881,0,0.00312173,-0.0003791,0.0003461,0.00357405,-0.00038606,0.0033312,0.00086688,0.00821375,-0.01401436
55,45,70,0.10574028,0.12897025,-0.55709577,0,0,0,0.96674025,7,0.00052963,0,0.00283682,0.00007175,0.00011899,0.00403022,-0.00113481,0.00312371,0.00016802,0.00847615,-0.01337618
60,45,70,0.1191891,0.13834684,-0.55168509,0,0,0,0.96538979,7,0.00036024,0,0.00152862,0.00069705,0.00035456,0.00306901,-0.00070465,0.00313326,-0.00036037,0.00844551,-0.01232541
65,45,70,0.1235508,0.15234141,-0.54888928,0,0,0,0.96369833,6,0.00091701,0,0.00198066,0.00003612,0.00054322,0.00220287,-0.0001002,0.00275661,-0.00094878,0.00798748,-0.01101005
35,50,70,0.08976965,0.09401551,-0.61339796,0,0,0,0.97047377,6,0.00093348,0,0.00006616,0.00013553,0.00063361,0.00086092,0.00128102,0.00253581,0.00156618,0.00599632,-0.01791865
40,50,70,0.09414586,0.1151245,-0.58222264,0,0,0,0.96937156,7,0.00044243,0,0.00006855,0.00020607,0.00070569,0.00137759,0.00158215,0.0032016,0.00185373,0.00716509,-0.0156256
45,50,70,0.09144477,0.13528413,-0.56339091,0,0,0,0.96736479,7,0.00098522,0,0.00153518,0.00059461,0.00120135,0.00207142,0.00161028,0.00375876,0.00094157,0.00749092,-0.01509237
50,50,70,0.09917687,0.1418639,-0.55200654,0,0,0,0.9662717,7,0.00090821,0,0.00246167,0.00089827,0.0011164,0.00281684,0.00116599,0.00382871,0.00085392,0.00738571,-0.0147137
55,50,70,0.11444713,0.14403263,-0.54534501,0,0,0,0.9662174,7,0.00064947,0,0.00250053,0.00141386,0.00092335,0.00299667,0.00058699,0.00349652,0.00068106,0.00741892,-0.01429254
60,50,70,0.13061705,0.15041417,-0.54073131,0,0,0,0.96526641,7,0.0005243,0,0.00113034,0.00209596,0.00115733,0.00264991,0.00050807,0.00362774,0.00001976,0.00746203,-0.01350975
65,50,70,0.13610816,0.15971364,-0.53519756,0,0,0,0.96335912,7,0.0005263,0,0.00156081,0.0015449,0.00130226,0.00214327,0.00060189,0.00335647,-0.00071712,0.00711702,-0.01231402
35,55,70,0.10103413,0.13663277,-0.58285958,0,0,0,0.9667263,7,0.00036074,0,0.00095785,0.00034133,0.00085164,0.001219,0.002514,0.00395121,0.00129349,0.00646544,-0.01781535
40,55,70,0.11444765,0.16852744,-0.55907816,0,0,0,0.96497273,7,0.00064859,0,0.00134969,0.00058967,0.00167043,0.0019507,0.00283706,0.00499147,0.00137275,0.0070751,-0.01619363
45,55,70,0.11021393,0.17662686,-0.55266064,0,0,0,0.9635784,8,0.00039782,0,0.00180769,0.00171235,0.00243097,0.00175629,0.00286925,0.00533245,0.0007807,0.00665379,-0.01634419
50,55,70,0.12299869,0.17619044,-0.5464763,0,0,0,0.96321344,8,0.00058996,0,0.00207531,0.00223549,0.00249883,0.00205727,0.00245345,0.00526125,0.00096016,0.00629225,-0.01606232
55,55,70,0.13045818,0.17687829,-0.53391635,0,0,0,0.96355647,8,0.00055199,0,0.00252855,0.00275893,0.00224743,0.00181698,0.00205195,0.0049363,0.00069572,0.00642264,-0.01525986
60,55,70,0.14527903,0.17854963,-0.5257954,0,0,0,0.9629584,8,0.0004512,0,0.00145936,0.00317678,0.00238449,0.00162844,0.00181484,0.00498458,-0.00004457,0.00638929,-0.01430744
