x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_y,tar_x,tar_z,exx,eyy,ezz,exy,eyz,ezx,
297.00000000,423.00000000,-3.38307190,-1.07901001,0.70834351,0.97515237,0.99458110,0.96889144,254.46675110,373.04095459,241.91096497,405.23208618,194.97344971,353.91238403,-33.98242950,-69.50743103,398.16513062,-37.36550140,-70.58644104,398.87347412,0.01926113,-0.01146926,0.55520642,0.00267826,-0.01423228,0.00577962,
297.00000000,432.00000000,-3.34799957,-1.08755493,0.70385742,0.97262734,0.99393922,0.96556389,254.43405151,382.29650879,242.49536133,414.07150269,195.55804443,363.03753662,-33.96736145,-68.97074127,398.17034912,-37.31536102,-70.05829620,398.87420654,0.04381011,-0.01293370,0.03326516,0.00466648,0.00393236,0.01843645,
297.00000000,441.00000000,-3.31032944,-1.09669495,0.69366455,0.97214520,0.99369049,0.96651167,254.39721680,391.56466675,243.11483765,422.89794922,196.20590210,372.16473389,-33.95216751,-68.43372345,398.17868042,-37.26249695,-69.53041840,398.87234497,0.04809599,-0.01461907,-0.15308756,0.00662633,0.01286197,0.00528223,
297.00000000,450.00000000,-3.27102661,-1.10707855,0.69018555,0.97226775,0.99334675,0.96746761,254.33438110,400.84133911,243.77047729,431.70443726,196.83370972,381.28375244,-33.93728638,-67.89653778,398.19317627,-37.20831299,-69.00361633,398.88336182,-0.01389359,-0.02010328,0.11476221,0.02601065,0.08616284,-0.14097112,
297.00000000,459.00000000,-3.23050308,-1.11836243,0.68011475,0.96897244,0.99328750,0.96532500,254.28715515,410.12191772,244.45046997,440.50750732,197.50982666,390.37426758,-33.92207718,-67.35916901,398.20556641,-37.15258026,-68.47753143,398.88568115,-0.03715255,-0.01971649,-0.10846785,0.02585207,0.08187146,-0.22695023,
297.00000000,468.00000000,-3.18745041,-1.13009644,0.67507935,0.96568161,0.99242401,0.96169621,254.23890686,419.34332275,245.16403198,449.29013062,198.22180176,399.41552734,-33.90774155,-66.82328796,398.20788574,-37.09519196,-67.95338440,398.88296509,0.03329752,-0.01349207,-0.29427505,-0.01421139,-0.11066625,-0.06817513,
297.00000000,477.00000000,-3.14191437,-1.14245605,0.67724609,0.96955144,0.99308234,0.96510923,254.20838928,428.59603882,245.92671204,458.05895996,198.97131348,408.48516846,-33.89265823,-66.28652954,398.21240234,-37.03457260,-67.42898560,398.88964844,0.11221168,-0.01519058,-0.28738058,-0.01151913,-0.08487088,0.12933533,
297.00000000,486.00000000,-3.09399796,-1.15610504,0.67205811,0.97511512,0.99353480,0.97155851,254.18582153,437.87161255,246.71797180,466.80325317,199.79916382,417.55288696,-33.87714005,-65.74915314,398.21936035,-36.97113800,-66.90525818,398.89141846,0.06255048,-0.02542283,-0.28422600,0.03764316,0.15129915,-0.01333333,
297.00000000,495.00000000,-3.04500198,-1.17057800,0.65310669,0.97489119,0.99359626,0.97214836,254.14778137,447.15576172,247.53973389,475.56634521,200.65049744,426.57641602,-33.86176300,-65.21150970,398.23056030,-36.90676498,-66.38208771,398.88366699,0.10833915,-0.01613186,0.43707564,-0.01079652,-0.09808481,0.16540754,
297.00000000,504.00000000,-2.99358368,-1.18540955,0.64266968,0.97509670,0.99339783,0.97283322,254.10905457,456.42993164,248.39642334,484.30508423,201.52871704,435.60659790,-33.84650803,-64.67414093,398.24041748,-36.84009171,-65.85955048,398.88308716,0.09675502,-0.01272382,0.24317902,-0.02449847,-0.17348965,0.10974034,
