x,y,u0,v0,u,v,exx,eyy,exy,zncc,iteration,convergence,feature,
64.00000000,32.00000000,-0.41407621,-4.14701033,-0.42677823,-4.15080309,0.00000000,0.00000000,0.00000000,0.99731308,3.00000000,0.00041482,58.00000000,
66.00000000,32.00000000,-0.41564170,-4.14778566,-0.42443928,-4.15479803,0.00000000,0.00000000,0.00000000,0.99717462,3.00000000,0.00047969,58.00000000,
68.00000000,32.00000000,-0.42115930,-4.14745951,-0.42536896,-4.15565538,0.00000000,0.00000000,0.00000000,0.99705857,3.00000000,0.00054185,57.00000000,
70.00000000,32.00000000,-0.42094740,-4.15020180,-0.42481148,-4.15465975,0.00000000,0.00000000,0.00000000,0.99714261,3.00000000,0.00078778,56.00000000,
72.00000000,32.00000000,-0.42192310,-4.15429020,-0.42365497,-4.15331936,0.00000000,0.00000000,0.00000000,0.99704093,3.00000000,0.00047467,57.00000000,
74.00000000,32.00000000,-0.42335451,-4.15541697,-0.42242342,-4.15998697,0.00000000,0.00000000,0.00000000,0.99720901,4.00000000,0.00020885,54.00000000,
76.00000000,32.00000000,-0.42485940,-4.15752554,-0.42687163,-4.15970278,0.00000000,0.00000000,0.00000000,0.99708587,3.00000000,0.00032413,55.00000000,
78.00000000,32.00000000,-0.42079848,-4.16003180,-0.42736271,-4.15753317,0.00000000,0.00000000,0.00000000,0.99704927,3.00000000,0.00037725,57.00000000,
80.00000000,32.00000000,-0.42387384,-4.15692949,-0.42446268,-4.15519619,0.00000000,0.00000000,0.00000000,0.99697596,3.00000000,0.00040174,57.00000000,
82.00000000,32.00000000,-0.42429236,-4.15287161,-0.43064973,-4.15084648,0.00000000,0.00000000,0.00000000,0.99700987,3.00000000,0.00050727,59.00000000,
84.00000000,32.00000000,-0.42265916,-4.15508986,-0.42779064,-4.15374374,0.00000000,0.00000000,0.00000000,0.99693477,3.00000000,0.00066245,55.00000000,
86.00000000,32.00000000,-0.42263582,-4.15539217,-0.42871824,-4.15760946,0.00000000,0.00000000,0.00000000,0.99693561,3.00000000,0.00069974,56.00000000,
88.00000000,32.00000000,-0.42530814,-4.15119982,-0.42875698,-4.15575218,0.00000000,0.00000000,0.00000000,0.99691337,3.00000000,0.00031240,55.00000000,
90.00000000,32.00000000,-0.42899573,-4.14870167,-0.42853191,-4.15676022,0.00000000,0.00000000,0.00000000,0.99694794,3.00000000,0.00031077,55.00000000,
92.00000000,32.00000000,-0.42950404,-4.15083027,-0.43033329,-4.16114473,0.00000000,0.00000000,0.00000000,0.99686342,3.00000000,0.00033019,53.00000000,
