x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
180,422,-0.52365005,-3.29384041,0,-3,0.99692291,5,0.00065449,0,0.0008726,0.00060076,0.00390728
182,422,-0.52416795,-3.27968311,0,-3,0.99678802,5,0.00035715,0,0.00121522,0.00205708,0.00321236
184,422,-0.52799827,-3.26727533,0,-3,0.99644691,5,0.0004053,0,0.00016689,0.00373699,0.00297452
186,422,-0.5301165,-3.25369716,0,-3,0.99606657,5,0.00032886,0,-0.00084538,0.00548765,0.00244796
188,422,-0.53302217,-3.24021053,0,-3,0.99563885,5,0.00030289,0,-0.00183446,0.0057786,0.00195036
190,422,-0.53739375,-3.22729182,0,-3,0.99509013,5,0.00028943,0,-0.00271478,0.00621093,0.00142627
192,422,-0.53992093,-3.21399426,0,-3,0.99452704,4,0.00097687,0,-0.0025417,0.00510819,0.00122803
194,422,-0.54265112,-3.20291972,0,-3,0.99383879,5,0.00028461,0,-0.00268658,0.0051873,0.00105065
196,422,-0.54569161,-3.19061565,0,-3,0.9935388,5,0.00059231,0,-0.00162448,0.00355177,0.00143336
198,422,-0.54764134,-3.17708683,0,-3,0.99360591,5,0.00053162,0,-0.0016548,0.00367526,0.00135962
200,422,-0.55153573,-3.16818118,0,-3,0.99364805,5,0.00073676,0,-0.00168858,0.00378333,0.00127258
202,422,-0.54976541,-3.15587544,0,-3,0.99397475,5,0.00047714,0,-0.00171662,0.003883,0.00117723
204,422,-0.55741239,-3.14652801,-1,-3,0.99421901,5,0.0004992,0,-0.00173515,0.00397005,0.00107232
206,422,-0.56295621,-3.13826346,-1,-3,0.99421895,5,0.00050564,0,-0.00173276,0.00404506,0.00095928
208,422,-0.56729794,-3.1316247,-1,-3,0.99432641,5,0.00034436,0,-0.0017256,0.00410359,0.00084087
210,422,-0.57268995,-3.12259936,-1,-3,0.9945038,5,0.0006499,0,-0.00170342,0.00414903,0.00071745
212,422,-0.57493609,-3.11431122,-1,-3,0.99485737,5,0.00030416,0,-0.00169979,0.0041798,0.00064886
214,422,-0.57803667,-3.10750151,-1,-3,0.99485654,5,0.00030691,0,-0.00168745,0.00419962,0.00057806
216,422,-0.58203477,-3.1018393,-1,-3,0.99484247,5,0.00035794,0,-0.00167559,0.00421402,0.00051691
218,422,-0.58419597,-3.09544468,-1,-3,0.99480885,5,0.00031239,0,-0.00164541,0.00422189,0.0004622
220,422,-0.58845013,-3.09041071,-1,-3,0.99464619,5,0.00028394,0,-0.0016151,0.00422844,0.00040123
222,422,-0.59116083,-3.08626342,-1,-3,0.99465072,5,0.00049652,0,-0.0015375,0.00423442,0.00034957
224,422,-0.5917958,-3.08210611,-1,-3,0.99478549,5,0.00085325,0,-0.0014799,0.00423713,0.00029767
226,422,-0.59498554,-3.0779593,-1,-3,0.99470168,5,0.00060025,0,-0.00143153,0.00423268,0.00023536
228,422,-0.59730166,-3.07513046,-1,-3,0.9947654,5,0.00057449,0,-0.00138665,0.00422268,0.00016654
